sku,upc,receiver_no,dept_number,quantity_ordered,dept_name
6558990,2200865589902,16563,2,10,MENSWEAR
6648245,2200866482455,16563,12,10,"Mens Accessories"
6648246,2200866482462,16563,12,10,"Mens Accessories"
6195417,2200861954179,16564,2,10,MENSWEAR
6195419,2200861954193,16564,2,10,MENSWEAR
6519435,2200865194359,16565,3,3,CHILDRENSWEAR
6519436,2200865194366,16565,3,3,CHILDRENSWEAR
6519437,2200865194373,16565,3,3,CHILDRENSWEAR
6519438,2200865194380,16565,3,3,CHILDRENSWEAR
6519439,2200865194397,16565,3,2,CHILDRENSWEAR
6623136,2200866231367,16565,3,1,CHILDRENSWEAR
6623137,2200866231374,16565,3,1,CHILDRENSWEAR
6623149,2200866231497,16565,3,2,CHILDRENSWEAR
6627294,2200866272940,16565,3,3,CHILDRENSWEAR
6627295,2200866272957,16565,3,2,CHILDRENSWEAR
6627430,2200866274302,16565,3,3,CHILDRENSWEAR
6627527,2200866275279,16565,3,2,CHILDRENSWEAR
6627528,2200866275286,16565,3,2,CHILDRENSWEAR
6627529,2200866275293,16565,3,2,CHILDRENSWEAR
6627530,2200866275309,16565,3,1,CHILDRENSWEAR
6627531,2200866275316,16565,3,2,CHILDRENSWEAR
6634991,2200866349918,16565,3,1,CHILDRENSWEAR
6634993,2200866349932,16565,3,3,CHILDRENSWEAR
6634994,2200866349949,16565,3,3,CHILDRENSWEAR
6634996,2200866349963,16565,3,2,CHILDRENSWEAR
6635031,2200866350310,16565,3,1,CHILDRENSWEAR
6635032,2200866350327,16565,3,3,CHILDRENSWEAR
6635033,2200866350334,16565,3,3,CHILDRENSWEAR
6635034,2200866350341,16565,3,3,CHILDRENSWEAR
6635036,2200866350365,16565,3,2,CHILDRENSWEAR
6635064,2200866350648,16565,3,1,CHILDRENSWEAR
6635065,2200866350655,16565,3,2,CHILDRENSWEAR
6635066,2200866350662,16565,3,2,CHILDRENSWEAR
6635067,2200866350679,16565,3,2,CHILDRENSWEAR
6635153,2200866351539,16565,3,2,CHILDRENSWEAR
6635154,2200866351546,16565,3,2,CHILDRENSWEAR
6635155,2200866351553,16565,3,2,CHILDRENSWEAR
6635159,2200866351591,16565,3,3,CHILDRENSWEAR
6636680,2200866366809,16565,3,2,CHILDRENSWEAR
6636681,2200866366816,16565,3,2,CHILDRENSWEAR
6636692,2200866366922,16565,3,2,CHILDRENSWEAR
6637701,2200866377010,16565,3,2,CHILDRENSWEAR
6637702,2200866377027,16565,3,1,CHILDRENSWEAR
6640364,2200866403641,16565,3,2,CHILDRENSWEAR
6642387,2200866423878,16565,3,1,CHILDRENSWEAR
6642388,2200866423885,16565,3,3,CHILDRENSWEAR
6642389,2200866423892,16565,3,3,CHILDRENSWEAR
6644527,2200866445276,16565,3,2,CHILDRENSWEAR
6644530,2200866445306,16565,3,3,CHILDRENSWEAR
6646525,2200866465250,16565,3,2,CHILDRENSWEAR
6647031,2200866470315,16565,3,1,CHILDRENSWEAR
6647111,2200866471114,16565,3,2,CHILDRENSWEAR
6647165,2200866471657,16565,3,2,CHILDRENSWEAR
6647166,2200866471664,16565,3,2,CHILDRENSWEAR
6647167,2200866471671,16565,3,1,CHILDRENSWEAR
6647169,2200866471695,16565,3,2,CHILDRENSWEAR
6647240,2200866472401,16565,3,2,CHILDRENSWEAR
6647242,2200866472425,16565,3,2,CHILDRENSWEAR
6647407,2200866474078,16565,3,4,CHILDRENSWEAR
6647408,2200866474085,16565,3,5,CHILDRENSWEAR
6647422,2200866474221,16565,3,1,CHILDRENSWEAR
6647423,2200866474238,16565,3,3,CHILDRENSWEAR
6647424,2200866474245,16565,3,2,CHILDRENSWEAR
6647426,2200866474269,16565,3,2,CHILDRENSWEAR
6647427,2200866474276,16565,3,2,CHILDRENSWEAR
6647436,2200866474368,16565,3,3,CHILDRENSWEAR
6647440,2200866474405,16565,3,2,CHILDRENSWEAR
6647486,2200866474863,16565,3,2,CHILDRENSWEAR
6647487,2200866474870,16565,3,2,CHILDRENSWEAR
6647488,2200866474887,16565,3,2,CHILDRENSWEAR
6647490,2200866474900,16565,3,2,CHILDRENSWEAR
6647491,2200866474917,16565,3,1,CHILDRENSWEAR
6647518,2200866475181,16565,3,2,CHILDRENSWEAR
6647519,2200866475198,16565,3,2,CHILDRENSWEAR
6647520,2200866475204,16565,3,2,CHILDRENSWEAR
6647521,2200866475211,16565,3,2,CHILDRENSWEAR
6647522,2200866475228,16565,3,1,CHILDRENSWEAR
6647523,2200866475235,16565,3,2,CHILDRENSWEAR
6655571,2200866555715,16565,3,3,CHILDRENSWEAR
6655572,2200866555722,16565,3,2,CHILDRENSWEAR
6655573,2200866555739,16565,3,4,CHILDRENSWEAR
6655574,2200866555746,16565,3,3,CHILDRENSWEAR
6662699,2200866626996,16565,3,3,CHILDRENSWEAR
6662700,2200866627009,16565,3,3,CHILDRENSWEAR
6662701,2200866627016,16565,3,4,CHILDRENSWEAR
6662703,2200866627030,16565,3,3,CHILDRENSWEAR
6662704,2200866627047,16565,3,2,CHILDRENSWEAR
6662709,2200866627092,16565,3,2,CHILDRENSWEAR
6662710,2200866627108,16565,3,2,CHILDRENSWEAR
6667852,2200866678520,16565,3,2,CHILDRENSWEAR
6667853,2200866678537,16565,3,2,CHILDRENSWEAR
6667856,2200866678568,16565,3,2,CHILDRENSWEAR
6668120,2200866681209,16565,3,3,CHILDRENSWEAR
6668121,2200866681216,16565,3,2,CHILDRENSWEAR
6668122,2200866681223,16565,3,3,CHILDRENSWEAR
6668123,2200866681230,16565,3,2,CHILDRENSWEAR
6668124,2200866681247,16565,3,2,CHILDRENSWEAR
6675908,2200866759083,16565,3,2,CHILDRENSWEAR
6675909,2200866759090,16565,3,3,CHILDRENSWEAR
6676393,2200866763936,16565,3,6,CHILDRENSWEAR
6676519,2200866765190,16565,3,2,CHILDRENSWEAR
6676520,2200866765206,16565,3,5,CHILDRENSWEAR
6676522,2200866765220,16565,3,5,CHILDRENSWEAR
6676586,2200866765862,16565,3,3,CHILDRENSWEAR
6676589,2200866765893,16565,3,2,CHILDRENSWEAR
6676642,2200866766425,16565,3,3,CHILDRENSWEAR
6676643,2200866766432,16565,3,3,CHILDRENSWEAR
6676644,2200866766449,16565,3,3,CHILDRENSWEAR
6676666,2200866766661,16565,3,2,CHILDRENSWEAR
6676667,2200866766678,16565,3,5,CHILDRENSWEAR
6676669,2200866766692,16565,3,5,CHILDRENSWEAR
6676696,2200866766968,16565,3,3,CHILDRENSWEAR
6676698,2200866766982,16565,3,3,CHILDRENSWEAR
6676771,2200866767712,16565,3,3,CHILDRENSWEAR
6676772,2200866767729,16565,3,2,CHILDRENSWEAR
6676774,2200866767743,16565,3,4,CHILDRENSWEAR
6676783,2200866767835,16565,3,3,CHILDRENSWEAR
6676784,2200866767842,16565,3,2,CHILDRENSWEAR
6676785,2200866767859,16565,3,3,CHILDRENSWEAR
7101058,2200871010582,16566,3,10,CHILDRENSWEAR
1313767,2200813137674,16567,1,10,HOME
6641519,2200866415194,16568,4,10,WOMENSWEAR
6357682,2200863576829,16569,12,1,"Mens Accessories"
6357786,2200863577864,16569,12,1,"Mens Accessories"
6357789,2200863577895,16569,12,1,"Mens Accessories"
6357790,2200863577901,16569,12,1,"Mens Accessories"
6721278,2200867212785,16569,12,1,"Mens Accessories"
6721281,2200867212815,16569,12,3,"Mens Accessories"
6834157,2200868341576,16569,12,20,"Mens Accessories"
6834158,2200868341583,16569,12,20,"Mens Accessories"
6834159,2200868341590,16569,12,8,"Mens Accessories"
6834160,2200868341606,16569,12,8,"Mens Accessories"
6834161,2200868341613,16569,12,4,"Mens Accessories"
7021477,2200870214776,16569,2,1,MENSWEAR
7731140,2200877311409,16569,3,5,CHILDRENSWEAR
7731143,2200877311430,16569,3,1,CHILDRENSWEAR
7731594,2200877315940,16569,3,1,CHILDRENSWEAR
7750710,2200877507109,16569,5,1,"WOMENS ACCESSORIES"
7750857,2200877508571,16569,5,1,"WOMENS ACCESSORIES"
7766848,2200877668480,16569,3,2,CHILDRENSWEAR
7774875,2200877748755,16569,2,1,MENSWEAR
7776230,2200877762300,16569,4,1,WOMENSWEAR
7776235,2200877762355,16569,4,6,WOMENSWEAR
7776236,2200877762362,16569,4,4,WOMENSWEAR
7777708,2200877777083,16569,2,3,MENSWEAR
7777709,2200877777090,16569,2,4,MENSWEAR
7778400,2200877784005,16569,3,1,CHILDRENSWEAR
7778405,2200877784050,16569,3,1,CHILDRENSWEAR
7778411,2200877784111,16569,3,1,CHILDRENSWEAR
7783197,2200877831976,16569,5,3,"WOMENS ACCESSORIES"
7783547,2200877835479,16569,4,2,WOMENSWEAR
7786329,2200877863298,16569,2,2,MENSWEAR
7788496,2200877884965,16569,3,3,CHILDRENSWEAR
7788500,2200877885009,16569,3,1,CHILDRENSWEAR
7791609,2200877916093,16569,2,2,MENSWEAR
7791610,2200877916109,16569,2,2,MENSWEAR
7794419,2200877944195,16569,4,1,WOMENSWEAR
7794420,2200877944201,16569,4,3,WOMENSWEAR
7794424,2200877944249,16569,4,1,WOMENSWEAR
7794680,2200877946809,16569,12,1,"Mens Accessories"
7805338,2200878053384,16569,7,1,LINGERIE
7805423,2200878054237,16569,2,1,MENSWEAR
7824342,2200878243426,16569,5,1,"WOMENS ACCESSORIES"
7826894,2200878268948,16569,4,1,WOMENSWEAR
7827293,2200878272938,16569,4,1,WOMENSWEAR
7829425,2200878294251,16569,3,1,CHILDRENSWEAR
7832825,2200878328253,16569,4,1,WOMENSWEAR
7835246,2200878352463,16569,4,2,WOMENSWEAR
7835248,2200878352487,16569,4,4,WOMENSWEAR
7648484,2200876484845,16570,1,4,HOME
7779677,2200877796770,16570,3,3,CHILDRENSWEAR
7779720,2200877797203,16570,3,1,CHILDRENSWEAR
9000004,406,16570,99,0,CONSIGNORS
1313767,2200813137674,16571,1,10,HOME
2895525,2200828955256,16571,10,10,"Gifts and Seasonal"
2895526,2200828955263,16571,10,10,"Gifts and Seasonal"
1313767,2200813137674,16572,1,10,HOME
2895525,2200828955256,16572,10,10,"Gifts and Seasonal"
2895526,2200828955263,16572,10,10,"Gifts and Seasonal"
2895528,2895528300000,16572,10,10,"Gifts and Seasonal"
2895533,2200828955331,16573,10,50,"Gifts and Seasonal"
2895535,2200828955355,16573,10,50,"Gifts and Seasonal"
2895536,2200828955362,16573,10,50,"Gifts and Seasonal"
2895537,2895537500000,16573,10,50,"Gifts and Seasonal"
2895538,2895538200000,16573,10,50,"Gifts and Seasonal"
2895541,2200828955416,16573,10,50,"Gifts and Seasonal"
1313767,2200813137674,16574,1,10,HOME
2895525,2200828955256,16574,10,10,"Gifts and Seasonal"
2895526,2200828955263,16574,10,10,"Gifts and Seasonal"
5605881,2200856058813,16575,7,10,LINGERIE
2895535,2200828955355,16576,10,10,"Gifts and Seasonal"
2895536,2200828955362,16576,10,10,"Gifts and Seasonal"
2895538,2895538200000,16576,10,10,"Gifts and Seasonal"
2895541,2200828955416,16576,10,5,"Gifts and Seasonal"
2899484,28994848,16577,1,10,HOME
2899486,28994862,16577,1,5,HOME
2895533,2200828955331,16578,10,5,"Gifts and Seasonal"
2895535,2200828955355,16578,10,10,"Gifts and Seasonal"
2895536,2200828955362,16578,10,5,"Gifts and Seasonal"
2895639,2895639600000,16579,10,4,"Gifts and Seasonal"
2895687,2895687700000,16579,10,5,"Gifts and Seasonal"
2895689,2895689100000,16579,10,5,"Gifts and Seasonal"
2895690,2895690700000,16579,10,6,"Gifts and Seasonal"
2899481,28994817,16580,1,6,HOME
2899482,28994824,16580,1,5,HOME
2899484,28994848,16580,1,7,HOME
2899486,28994862,16580,1,4,HOME
2899488,28994886,16580,1,3,HOME
2895545,2895545000000,16581,10,5,"Gifts and Seasonal"
2895548,2200828955485,16581,10,10,"Gifts and Seasonal"
2895583,2895583200000,16582,10,5,"Gifts and Seasonal"
2895585,2200828955850,16582,10,4,"Gifts and Seasonal"
2895590,2200828955904,16582,10,5,"Gifts and Seasonal"
2895623,2895623500000,16582,10,4,"Gifts and Seasonal"
2895632,2895632700000,16582,10,5,"Gifts and Seasonal"
2895633,2895633400000,16582,10,5,"Gifts and Seasonal"
2895634,2200828956345,16582,10,5,"Gifts and Seasonal"
2895635,2200828956352,16582,10,5,"Gifts and Seasonal"
2895636,2895636500000,16582,10,4,"Gifts and Seasonal"
2895638,2200828956383,16582,10,3,"Gifts and Seasonal"
2895639,2895639600000,16582,10,3,"Gifts and Seasonal"
2895687,2895687700000,16582,10,5,"Gifts and Seasonal"
2895689,2895689100000,16582,10,4,"Gifts and Seasonal"
2895690,2895690700000,16582,10,5,"Gifts and Seasonal"
2899336,28993360,16582,10,4,"Gifts and Seasonal"
2899478,28994787,16582,1,5,HOME
2899479,28994794,16582,1,5,HOME
2899481,28994817,16582,1,5,HOME
2899482,28994824,16582,1,5,HOME
2899484,28994848,16582,1,4,HOME
2899486,28994862,16582,1,3,HOME
2899488,28994886,16582,1,3,HOME
2899489,28994893,16582,1,1,HOME
2899484,28994848,16583,1,2,HOME
2899486,28994862,16583,1,3,HOME
2899488,28994886,16583,1,2,HOME
2895636,2895636500000,16584,10,5,"Gifts and Seasonal"
2895638,2200828956383,16584,10,5,"Gifts and Seasonal"
2895639,2895639600000,16584,10,5,"Gifts and Seasonal"
2895687,2895687700000,16584,10,5,"Gifts and Seasonal"
2895689,2895689100000,16584,10,5,"Gifts and Seasonal"
2895690,2895690700000,16584,10,5,"Gifts and Seasonal"
2899336,28993360,16584,10,5,"Gifts and Seasonal"
2899478,28994787,16584,1,5,HOME
2899482,28994824,16584,1,5,HOME
2899484,28994848,16584,1,5,HOME
2899486,28994862,16584,1,5,HOME
2899488,28994886,16584,1,5,HOME
2899489,28994893,16584,1,5,HOME
2899490,28994909,16584,1,5,HOME
2899491,28994916,16584,1,5,HOME
2895550,2895550400000,16582,10,5,"Gifts and Seasonal"
1313754,2200813137544,16585,1,10,HOME
1313767,2200813137674,16585,1,10,HOME
2895525,2200828955256,16585,10,10,"Gifts and Seasonal"
2895526,2200828955263,16585,10,10,"Gifts and Seasonal"
2895528,2895528300000,16585,10,10,"Gifts and Seasonal"
2895545,2895545000000,16586,10,10,"Gifts and Seasonal"
2895585,2200828955850,16586,10,10,"Gifts and Seasonal"
7947499,2200879474997,16586,10,100,"Gifts and Seasonal"
7947696,2200879476960,16586,10,100,"Gifts and Seasonal"
7947700,2200879477004,16586,10,100,"Gifts and Seasonal"
7947712,2200879477127,16586,10,100,"Gifts and Seasonal"
7947722,2200879477226,16586,10,100,"Gifts and Seasonal"
7947730,2200879477301,16586,10,100,"Gifts and Seasonal"
7947751,2200879477516,16586,10,100,"Gifts and Seasonal"
7947752,2200879477523,16586,10,100,"Gifts and Seasonal"
7948099,2200879480998,16586,10,100,"Gifts and Seasonal"
7948337,2200879483371,16586,10,100,"Gifts and Seasonal"
7948355,2200879483555,16586,10,100,"Gifts and Seasonal"
7947453,2200879474539,16587,10,100,"Gifts and Seasonal"
7947499,2200879474997,16587,10,100,"Gifts and Seasonal"
7947696,2200879476960,16587,10,100,"Gifts and Seasonal"
7947700,2200879477004,16587,10,100,"Gifts and Seasonal"
7947712,2200879477127,16587,10,100,"Gifts and Seasonal"
7947722,2200879477226,16588,10,20,"Gifts and Seasonal"
7947730,2200879477301,16588,10,20,"Gifts and Seasonal"
7947741,2200879477417,16588,10,10,"Gifts and Seasonal"
7947742,2200879477424,16588,10,10,"Gifts and Seasonal"
7947751,2200879477516,16589,10,5,"Gifts and Seasonal"
7947752,2200879477523,16589,10,5,"Gifts and Seasonal"
7948098,2200879480981,16589,10,5,"Gifts and Seasonal"
7948099,2200879480998,16589,10,5,"Gifts and Seasonal"
7948107,2200879481070,16589,10,5,"Gifts and Seasonal"
2895525,2200828955256,16590,10,10,"Gifts and Seasonal"
2895526,2200828955263,16590,10,10,"Gifts and Seasonal"
7947453,2200879474539,16590,10,20,"Gifts and Seasonal"
7947499,2200879474997,16590,10,20,"Gifts and Seasonal"
2895526,2200828955263,16591,10,10,"Gifts and Seasonal"
2895536,2200828955362,16591,10,10,"Gifts and Seasonal"
2895541,2200828955416,16591,10,10,"Gifts and Seasonal"
7947722,2200879477226,16591,10,20,"Gifts and Seasonal"
7947741,2200879477417,16591,10,5,"Gifts and Seasonal"
2895542,2895542900000,16592,10,10,"Gifts and Seasonal"
2895543,2200828955430,16592,10,10,"Gifts and Seasonal"
3429522,87934295100,16592,2,10,MENSWEAR
3486630,2200834866300,16592,1,10,HOME
7947453,2200879474539,16593,10,100,"Gifts and Seasonal"
7947499,2200879474997,16593,10,100,"Gifts and Seasonal"
7947696,2200879476960,16593,10,100,"Gifts and Seasonal"
7947700,2200879477004,16593,10,100,"Gifts and Seasonal"
7947712,2200879477127,16593,10,100,"Gifts and Seasonal"
7948330,2200879483302,16594,10,100,"Gifts and Seasonal"
7948333,2200879483333,16594,10,100,"Gifts and Seasonal"
7948337,2200879483371,16594,10,100,"Gifts and Seasonal"
7948355,2200879483555,16594,10,100,"Gifts and Seasonal"
7996659,2200879966591,16595,10,100,"Gifts and Seasonal"
7996661,2200879966614,16595,10,100,"Gifts and Seasonal"
7996676,2200879966768,16595,10,100,"Gifts and Seasonal"
8039950,5045470263383,16595,10,100,"Gifts and Seasonal"
2895525,2200828955256,16596,10,100,"Gifts and Seasonal"
2895528,2895528300000,16596,10,100,"Gifts and Seasonal"
7996651,2200879966515,16596,10,100,"Gifts and Seasonal"
7996660,2200879966607,16596,10,100,"Gifts and Seasonal"
7989071,2200879890711,16597,10,100,"Gifts and Seasonal"
7994222,2200879942229,16598,10,100,"Gifts and Seasonal"
7948108,2200879481087,16599,10,500,"Gifts and Seasonal"
7948108,2200879481087,16600,10,1000,"Gifts and Seasonal"
7996639,2200879966393,16601,10,50,"Gifts and Seasonal"
7996639,2200879966393,16602,10,50,"Gifts and Seasonal"
7996249,2200879962494,16603,10,25,"Gifts and Seasonal"
3777003,2200837770031,16604,1,5,HOME
3826922,2200838269220,16604,4,10,WOMENSWEAR
4296422,2200842964227,16605,12,10,"Mens Accessories"
7996248,2200879962487,16605,10,50,"Gifts and Seasonal"
7996233,2200879962333,16606,10,50,"Gifts and Seasonal"
7996248,2200879962487,16606,10,50,"Gifts and Seasonal"
7996218,2200879962180,16607,10,100,"Gifts and Seasonal"
7996224,2200879962241,16607,10,100,"Gifts and Seasonal"
2895638,2200828956383,16608,10,50,"Gifts and Seasonal"
2895639,2895639600000,16608,10,50,"Gifts and Seasonal"
2895687,2895687700000,16608,10,50,"Gifts and Seasonal"
2895689,2895689100000,16608,10,50,"Gifts and Seasonal"
2895690,2895690700000,16608,10,50,"Gifts and Seasonal"
2899336,28993360,16608,10,50,"Gifts and Seasonal"
7500178,2200875001784,16609,7,10,LINGERIE
7500179,2200875001791,16609,7,10,LINGERIE
1313754,2200813137544,16610,1,1,HOME
1313767,2200813137674,16610,1,1,HOME
2895525,2200828955256,16610,10,1,"Gifts and Seasonal"
1313754,2200813137544,16611,1,1,HOME
1313767,2200813137674,16611,1,1,HOME
2895525,2200828955256,16611,10,1,"Gifts and Seasonal"
