sku,upc,receiver_no,dept_number,quantity_ordered,dept_name
7731143,2200877311430,16569,3,1,CHILDRENSWEAR
7731594,2200877315940,16569,3,1,CHILDRENSWEAR
7750710,2200877507109,16569,5,1,"WOMENS ACCESSORIES"
7750857,2200877508571,16569,5,1,"WOMENS ACCESSORIES"
7766848,2200877668480,16569,3,2,CHILDRENSWEAR
7774875,2200877748755,16569,2,1,MENSWEAR
7776230,2200877762300,16569,4,1,WOMENSWEAR
7776235,2200877762355,16569,4,6,WOMENSWEAR
7776236,2200877762362,16569,4,4,WOMENSWEAR
7777708,2200877777083,16569,2,3,MENSWEAR
7777709,2200877777090,16569,2,4,MENSWEAR
7778400,2200877784005,16569,3,1,CHILDRENSWEAR
7778405,2200877784050,16569,3,1,CHILDRENSWEAR
7778411,2200877784111,16569,3,1,CHILDRENSWEAR
7783197,2200877831976,16569,5,3,"WOMENS ACCESSORIES"
7783547,2200877835479,16569,4,2,WOMENSWEAR
7786329,2200877863298,16569,2,2,MENSWEAR
7788496,2200877884965,16569,3,3,CHILDRENSWEAR
7788500,2200877885009,16569,3,1,CHILDRENSWEAR
7791609,2200877916093,16569,2,2,MENSWEAR
7791610,2200877916109,16569,2,2,MENSWEAR
7794419,2200877944195,16569,4,1,WOMENSWEAR
7794420,2200877944201,16569,4,3,WOMENSWEAR
7794424,2200877944249,16569,4,1,WOMENSWEAR
7794680,2200877946809,16569,12,1,"Mens Accessories"
7805338,2200878053384,16569,7,1,LINGERIE
7805423,2200878054237,16569,2,1,MENSWEAR
7824342,2200878243426,16569,5,1,"WOMENS ACCESSORIES"
7826894,2200878268948,16569,4,1,WOMENSWEAR
7827293,2200878272938,16569,4,1,WOMENSWEAR
7829425,2200878294251,16569,3,1,CHILDRENSWEAR
7832825,2200878328253,16569,4,1,WOMENSWEAR
7835246,2200878352463,16569,4,2,WOMENSWEAR
7835248,2200878352487,16569,4,4,WOMENSWEAR
7648484,2200876484845,16570,1,4,HOME
7779677,2200877796770,16570,3,3,CHILDRENSWEAR
7779720,2200877797203,16570,3,1,CHILDRENSWEAR
9000004,406,16570,99,0,CONSIGNORS
1313767,2200813137674,16572,1,10,HOME
2895525,2200828955256,16572,10,10,"Gifts and Seasonal"
2895526,2200828955263,16572,10,10,"Gifts and Seasonal"
2895528,2895528300000,16572,10,10,"Gifts and Seasonal"
2895533,2200828955331,16573,10,50,"Gifts and Seasonal"
2895535,2200828955355,16573,10,50,"Gifts and Seasonal"
2895536,2200828955362,16573,10,50,"Gifts and Seasonal"
2895537,2895537500000,16573,10,50,"Gifts and Seasonal"
2895538,2895538200000,16573,10,50,"Gifts and Seasonal"
2895541,2200828955416,16573,10,50,"Gifts and Seasonal"
1313767,2200813137674,16574,1,10,HOME
2895525,2200828955256,16574,10,10,"Gifts and Seasonal"
2895526,2200828955263,16574,10,10,"Gifts and Seasonal"
5605881,2200856058813,16575,7,10,LINGERIE
2899484,28994848,16577,1,10,HOME
2899486,28994862,16577,1,5,HOME
2895533,2200828955331,16578,10,5,"Gifts and Seasonal"
2895535,2200828955355,16578,10,10,"Gifts and Seasonal"
2895536,2200828955362,16578,10,5,"Gifts and Seasonal"
2895583,2895583200000,16582,10,5,"Gifts and Seasonal"
2895585,2200828955850,16582,10,4,"Gifts and Seasonal"
2895590,2200828955904,16582,10,5,"Gifts and Seasonal"
2895623,2895623500000,16582,10,4,"Gifts and Seasonal"
2895632,2895632700000,16582,10,5,"Gifts and Seasonal"
2895633,2895633400000,16582,10,5,"Gifts and Seasonal"
2895634,2200828956345,16582,10,5,"Gifts and Seasonal"
2895635,2200828956352,16582,10,5,"Gifts and Seasonal"
2895636,2895636500000,16582,10,4,"Gifts and Seasonal"
2895638,2200828956383,16582,10,3,"Gifts and Seasonal"
2895639,2895639600000,16582,10,3,"Gifts and Seasonal"
2895687,2895687700000,16582,10,5,"Gifts and Seasonal"
2895689,2895689100000,16582,10,4,"Gifts and Seasonal"
2895690,2895690700000,16582,10,5,"Gifts and Seasonal"
2899336,28993360,16582,10,4,"Gifts and Seasonal"
2899478,28994787,16582,1,5,HOME
2899479,28994794,16582,1,5,HOME
2899481,28994817,16582,1,5,HOME
2899482,28994824,16582,1,5,HOME
2899484,28994848,16582,1,4,HOME
2899486,28994862,16582,1,3,HOME
2899488,28994886,16582,1,3,HOME
2899489,28994893,16582,1,1,HOME
2899484,28994848,16583,1,2,HOME
2899486,28994862,16583,1,3,HOME
2899488,28994886,16583,1,2,HOME
2895636,2895636500000,16584,10,5,"Gifts and Seasonal"
2895638,2200828956383,16584,10,5,"Gifts and Seasonal"
2895639,2895639600000,16584,10,5,"Gifts and Seasonal"
2895687,2895687700000,16584,10,5,"Gifts and Seasonal"
2895689,2895689100000,16584,10,5,"Gifts and Seasonal"
2895690,2895690700000,16584,10,5,"Gifts and Seasonal"
2899336,28993360,16584,10,5,"Gifts and Seasonal"
2899478,28994787,16584,1,5,HOME
2899482,28994824,16584,1,5,HOME
2899484,28994848,16584,1,5,HOME
2899486,28994862,16584,1,5,HOME
2899488,28994886,16584,1,5,HOME
2899489,28994893,16584,1,5,HOME
2899490,28994909,16584,1,5,HOME
2899491,28994916,16584,1,5,HOME
2895550,2895550400000,16582,10,5,"Gifts and Seasonal"
7996659,2200879966591,16595,10,100,"Gifts and Seasonal"
7996661,2200879966614,16595,10,100,"Gifts and Seasonal"
7996676,2200879966768,16595,10,100,"Gifts and Seasonal"
8039950,5045470263383,16595,10,100,"Gifts and Seasonal"
2895525,2200828955256,16596,10,100,"Gifts and Seasonal"
2895528,2895528300000,16596,10,100,"Gifts and Seasonal"
7996651,2200879966515,16596,10,100,"Gifts and Seasonal"
7996660,2200879966607,16596,10,100,"Gifts and Seasonal"
7989071,2200879890711,16597,10,100,"Gifts and Seasonal"
7996639,2200879966393,16601,10,50,"Gifts and Seasonal"
7996639,2200879966393,16602,10,50,"Gifts and Seasonal"
7996249,2200879962494,16603,10,25,"Gifts and Seasonal"
4296422,2200842964227,16605,12,10,"Mens Accessories"
7996248,2200879962487,16605,10,50,"Gifts and Seasonal"
2895638,2200828956383,16608,10,50,"Gifts and Seasonal"
2895639,2895639600000,16608,10,50,"Gifts and Seasonal"
2895687,2895687700000,16608,10,50,"Gifts and Seasonal"
2895689,2895689100000,16608,10,50,"Gifts and Seasonal"
2895690,2895690700000,16608,10,50,"Gifts and Seasonal"
2899336,28993360,16608,10,50,"Gifts and Seasonal"
1313754,2200813137544,16610,1,1,HOME
1313767,2200813137674,16610,1,1,HOME
2895525,2200828955256,16610,10,1,"Gifts and Seasonal"
2895583,2895583200000,16614,10,10,"Gifts and Seasonal"
1313754,2200813137544,16615,1,10,HOME
2895525,2200828955256,16615,10,10,"Gifts and Seasonal"
2895533,2200828955331,16616,10,10,"Gifts and Seasonal"
2895541,2200828955416,16616,10,10,"Gifts and Seasonal"
2895550,2895550400000,16617,10,10,"Gifts and Seasonal"
2895568,2895568900000,16617,10,10,"Gifts and Seasonal"
2895581,2200828955812,16618,10,10,"Gifts and Seasonal"
2895583,2895583200000,16618,10,10,"Gifts and Seasonal"
2895636,2895636500000,16619,10,10,"Gifts and Seasonal"
2895639,2895639600000,16619,10,10,"Gifts and Seasonal"
3429522,87934295100,16620,2,10,MENSWEAR
3580195,2200835801959,16620,2,10,MENSWEAR
3737227,2200837372273,16621,2,10,MENSWEAR
3776941,2200837769417,16621,1,10,HOME
4386432,2200843864328,16622,1,10,HOME
4398063,2200843980639,16622,12,10,"Mens Accessories"
4463386,2200844633862,16622,1,10,HOME
4740946,2200847409464,16623,7,10,LINGERIE
4741141,2200847411412,16623,2,10,MENSWEAR
4772333,2200847723331,16623,1,10,HOME
4992974,2200849929748,16624,7,10,LINGERIE
4995197,2200849951978,16624,12,10,"Mens Accessories"
4995763,2200849957635,16624,7,10,LINGERIE
